NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.4,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.4,
Experiment Name,sample1bloom 2024-07-11 11-17-27.nano,
Operator Name,kasson,
Time Captured,11:17:27  11/07/2024,
Sample Description,bloom-heat1,
Pre-treatment,,
Diluent,10x,
Remarks,,
,,
,,,,,
Filename:,sample1bloom 2024-07-11 11-17-46,sample1bloom 2024-07-11 11-18-57,sample1bloom 2024-07-11 11-20-07,sample1bloom 2024-07-11 11-21-17,sample1bloom 2024-07-11 11-22-27,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,19.800,19.862,19.892,19.924,19.957,
Viscosity/cP,1.004909,1.003383,1.002646,1.001861,1.001052,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.480000,31.480000,31.480000,31.480000,31.480000,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.0000,12.0000,12.0000,12.0000,12.0000,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
204.5,0,0,2,0,0,0,0,
205.5,0,0,1,0,0,0,0,
206.5,0,0,0,0,0,0,0,
207.5,0,0,0,0,0,0,0,
208.5,0,0,0,0,0,0,0,
209.5,0,0,0,0,0,0,0,
210.5,0,0,0,0,0,0,0,
211.5,0,0,0,0,0,0,0,
212.5,0,0,0,0,0,0,0,
213.5,0,0,0,0,0,0,0,
214.5,0,0,0,0,0,0,0,
215.5,0,0,0,0,0,0,0,
216.5,0,0,0,0,0,0,0,
217.5,0,0,0,0,0,0,0,
218.5,0,0,0,0,0,0,0,
219.5,0,0,0,0,0,0,0,
220.5,0,0,0,0,0,0,0,
221.5,0,0,0,0,0,0,0,
222.5,0,0,0,0,0,0,0,
223.5,0,0,0,0,0,0,0,
224.5,0,0,0,0,0,0,0,
225.5,0,0,0,0,0,0,0,
226.5,0,0,0,0,0,0,0,
227.5,0,0,0,0,0,0,0,
228.5,0,0,0,0,0,0,0,
229.5,0,0,0,0,0,0,0,
230.5,0,0,0,0,0,0,0,
231.5,0,0,0,0,0,0,0,
232.5,0,0,0,0,0,0,0,
233.5,0,0,0,0,0,0,0,
234.5,0,0,0,0,0,0,0,
235.5,0,0,0,0,0,0,0,
236.5,0,0,0,0,0,0,0,
237.5,0,0,0,0,0,0,0,
238.5,0,0,0,0,0,0,0,
239.5,0,0,0,0,0,0,0,
240.5,0,0,0,0,0,0,0,
241.5,0,0,0,0,0,0,0,
242.5,0,0,0,0,0,0,0,
243.5,0,0,0,0,0,0,0,
244.5,0,0,0,0,0,0,0,
245.5,0,0,0,0,0,0,0,
246.5,0,0,0,0,0,0,0,
247.5,0,0,0,0,0,0,0,
248.5,0,0,0,0,0,0,0,
249.5,0,0,0,0,0,0,0,
250.5,0,0,0,0,0,0,0,
251.5,0,0,0,0,0,0,0,
252.5,0,0,0,0,0,0,0,
253.5,0,0,0,0,0,0,0,
254.5,0,0,0,0,0,0,0,
255.5,0,0,0,0,0,0,0,
256.5,0,0,0,0,0,0,0,
257.5,0,0,0,0,0,0,0,
258.5,0,0,0,0,0,0,0,
259.5,0,0,0,0,0,0,0,
260.5,0,0,0,0,0,0,0,
261.5,0,0,0,0,0,0,0,
262.5,0,0,0,0,0,0,0,
263.5,0,0,0,0,0,0,0,
264.5,0,0,0,0,0,0,0,
265.5,0,0,0,0,0,0,0,
266.5,0,0,0,0,0,0,0,
267.5,0,0,0,0,0,0,0,
268.5,0,0,0,0,0,0,0,
269.5,0,0,0,0,0,0,0,
270.5,0,0,0,0,0,0,0,
271.5,0,0,0,0,0,0,0,
272.5,0,0,0,0,0,0,0,
273.5,0,0,0,0,0,0,0,
274.5,0,0,0,0,0,0,0,
275.5,0,0,0,0,0,0,0,
276.5,0,0,0,0,0,0,0,
277.5,0,0,0,0,0,0,0,
278.5,0,0,0,0,0,0,0,
279.5,0,0,0,0,0,0,0,
280.5,0,0,0,0,0,0,0,
281.5,0,0,0,0,0,0,0,
282.5,0,0,0,0,0,0,0,
283.5,0,0,0,0,0,0,0,
284.5,0,0,0,0,0,0,0,
285.5,0,0,0,0,0,0,0,
286.5,0,0,0,0,0,0,0,
287.5,0,0,0,0,0,0,0,
288.5,0,0,0,0,0,0,0,
289.5,0,0,0,0,0,0,0,
290.5,0,0,0,0,0,0,0,
291.5,0,0,0,0,0,0,0,
292.5,0,0,0,0,0,0,0,
293.5,0,0,0,0,0,0,0,
294.5,0,0,0,0,0,0,0,
295.5,0,0,0,0,0,0,0,
296.5,0,0,0,0,0,0,0,
297.5,0,0,0,0,0,0,0,
298.5,0,0,0,0,0,0,0,
299.5,0,0,0,0,0,0,0,
300.5,0,0,0,0,0,0,0,
301.5,0,0,0,0,0,0,0,
302.5,0,0,0,0,0,0,0,
303.5,0,0,0,0,0,0,0,
304.5,0,0,0,0,0,0,0,
305.5,0,0,0,0,0,0,0,
306.5,0,0,0,0,0,0,0,
307.5,0,0,0,0,0,0,0,
308.5,0,0,0,0,0,0,0,
309.5,0,0,0,0,0,0,0,
310.5,0,0,0,0,0,0,0,
311.5,0,0,0,0,0,0,0,
312.5,0,0,0,0,0,0,0,
313.5,0,0,0,0,0,0,0,
314.5,0,0,0,0,0,0,0,
315.5,0,0,0,0,0,0,0,
316.5,0,0,0,0,0,0,0,
317.5,0,0,0,0,0,0,0,
318.5,0,0,0,0,0,0,0,
319.5,0,0,0,0,0,0,0,
320.5,0,0,0,0,0,0,0,
321.5,0,0,0,0,0,0,0,
322.5,0,0,0,0,0,0,0,
323.5,0,0,0,0,0,0,0,
324.5,0,0,0,0,0,0,0,
325.5,0,0,0,0,0,0,0,
326.5,0,0,0,0,0,0,0,
327.5,0,0,0,0,0,0,0,
328.5,0,0,0,0,0,0,0,
329.5,0,0,0,0,0,0,0,
330.5,0,0,0,0,0,0,0,
331.5,0,0,0,0,0,0,0,
332.5,0,0,0,0,0,0,0,
333.5,0,0,0,0,0,0,0,
334.5,0,0,0,0,0,0,0,
335.5,0,0,0,0,0,0,0,
336.5,0,0,0,0,0,0,0,
337.5,0,0,0,0,0,0,0,
338.5,0,0,0,0,0,0,0,
339.5,0,0,0,0,0,0,0,
340.5,0,0,0,0,0,0,0,
341.5,0,0,0,0,0,0,0,
342.5,0,0,0,0,0,0,0,
343.5,0,0,0,0,0,0,0,
344.5,0,0,0,0,0,0,0,
345.5,0,0,0,0,0,0,0,
346.5,0,0,0,0,0,0,0,
347.5,0,0,0,0,0,0,0,
348.5,0,0,0,0,0,0,0,
349.5,0,0,0,0,0,0,0,
350.5,0,0,0,0,0,0,0,
351.5,0,0,0,0,0,0,0,
352.5,0,0,0,0,0,0,0,
353.5,0,0,0,0,0,0,0,
354.5,0,0,0,0,0,0,0,
355.5,0,0,0,0,0,0,0,
356.5,0,0,0,0,0,0,0,
357.5,0,0,0,0,0,0,0,
358.5,0,0,0,0,0,0,0,
359.5,0,0,0,0,0,0,0,
360.5,0,0,0,0,0,0,0,
361.5,0,0,0,0,0,0,0,
362.5,0,0,0,0,0,0,0,
363.5,0,0,0,0,0,0,0,
364.5,0,0,0,0,0,0,0,
365.5,0,0,0,0,0,0,0,
366.5,0,0,0,0,0,0,0,
367.5,0,0,0,0,0,0,0,
368.5,0,0,0,0,0,0,0,
369.5,0,0,0,0,0,0,0,
370.5,0,0,0,0,0,0,0,
371.5,0,0,0,0,0,0,0,
372.5,0,0,0,0,0,0,0,
373.5,0,0,0,0,0,0,0,
374.5,0,0,0,0,0,0,0,
375.5,0,0,0,0,0,0,0,
376.5,0,0,0,0,0,0,0,
377.5,0,0,0,0,0,0,0,
378.5,0,0,0,0,0,0,0,
379.5,0,0,0,0,0,0,0,
380.5,0,0,0,0,0,0,0,
381.5,0,0,0,0,0,0,0,
382.5,0,0,0,0,0,0,0,
383.5,0,0,0,0,0,0,0,
384.5,0,0,0,0,0,0,0,
385.5,0,0,0,0,0,0,0,
386.5,0,0,0,0,0,0,0,
387.5,0,0,0,0,0,0,0,
388.5,0,0,0,0,0,0,0,
389.5,0,0,0,0,0,0,0,
390.5,0,0,0,0,0,0,0,
391.5,0,0,0,0,0,0,0,
392.5,0,0,0,0,0,0,0,
393.5,0,0,0,0,0,0,0,
394.5,0,0,0,0,0,0,0,
395.5,0,0,0,0,0,0,0,
396.5,0,0,0,0,0,0,0,
397.5,0,0,0,0,0,0,0,
398.5,0,0,0,0,0,0,0,
399.5,0,0,0,0,0,0,0,
400.5,0,0,0,0,0,0,0,
401.5,0,0,0,0,0,0,0,
402.5,0,0,0,0,0,0,0,
403.5,0,0,0,0,0,0,0,
404.5,0,0,0,0,0,0,0,
405.5,0,0,0,0,0,0,0,
406.5,0,0,0,0,0,0,0,
407.5,0,0,0,0,0,0,0,
408.5,0,0,0,0,0,0,0,
409.5,0,0,0,0,0,0,0,
410.5,0,0,0,0,0,0,0,
411.5,0,0,0,0,0,0,0,
412.5,0,0,0,0,0,0,0,
413.5,0,0,0,0,0,0,0,
414.5,0,0,0,0,0,0,0,
415.5,0,0,0,0,0,0,0,
416.5,0,0,0,0,0,0,0,
417.5,0,0,0,0,0,0,0,
418.5,0,0,0,0,0,0,0,
419.5,0,0,0,0,0,0,0,
420.5,0,0,0,0,0,0,0,
421.5,0,0,0,0,0,0,0,
422.5,0,0,0,0,0,0,0,
423.5,0,0,0,0,0,0,0,
424.5,0,0,0,0,0,0,0,
425.5,0,0,0,0,0,0,0,
426.5,0,0,0,0,0,0,0,
427.5,0,0,0,0,0,0,0,
428.5,0,0,0,0,0,0,0,
429.5,0,0,0,0,0,0,0,
430.5,0,0,0,0,0,0,0,
431.5,0,0,0,0,0,0,0,
432.5,0,0,0,0,0,0,0,
433.5,0,0,0,0,0,0,0,
434.5,0,0,0,0,0,0,0,
435.5,0,0,0,0,0,0,0,
436.5,0,0,0,0,0,0,0,
437.5,0,0,0,0,0,0,0,
438.5,0,0,0,0,0,0,0,
439.5,0,0,0,0,0,0,0,
440.5,0,0,0,0,0,0,0,
441.5,0,0,0,0,0,0,0,
442.5,0,0,0,0,0,0,0,
443.5,0,0,0,0,0,0,0,
444.5,0,0,0,0,0,0,0,
445.5,0,0,0,0,0,0,0,
446.5,0,0,0,0,0,0,0,
447.5,0,0,0,0,0,0,0,
448.5,0,0,0,0,0,0,0,
449.5,0,0,0,0,0,0,0,
450.5,0,0,0,0,0,0,0,
451.5,0,0,0,0,0,0,0,
452.5,0,0,0,0,0,0,0,
453.5,0,0,0,0,0,0,0,
454.5,0,0,0,0,0,0,0,
455.5,0,0,0,0,0,0,0,
456.5,0,0,0,0,0,0,0,
457.5,0,0,0,0,0,0,0,
458.5,0,0,0,0,0,0,0,
459.5,0,0,0,0,0,0,0,
460.5,0,0,0,0,0,0,0,
461.5,0,0,0,0,0,0,0,
462.5,0,0,0,0,0,0,0,
463.5,0,0,0,0,0,0,0,
464.5,0,0,0,0,0,0,0,
465.5,0,0,0,0,0,0,0,
466.5,0,0,0,0,0,0,0,
467.5,0,0,0,0,0,0,0,
468.5,0,0,0,0,0,0,0,
469.5,0,0,0,0,0,0,0,
470.5,0,0,0,0,0,0,0,
471.5,0,0,0,0,0,0,0,
472.5,0,0,0,0,0,0,0,
473.5,0,0,0,0,0,0,0,
474.5,0,0,0,0,0,0,0,
475.5,0,0,0,0,0,0,0,
476.5,0,0,0,0,0,0,0,
